method,fold1.test,fold2.test
BIC.1,86.71328671328671,88.37814397224631
linear.2,91.99689199689199,88.46487424111015
linear.2.nfe,90.63714063714063,87.45013009540329
linear.5,94.7940947940948,92.41110147441457
linear.5.nfe,94.75524475524476,92.7987857762359
mlp.1.8,95.33799533799534,91.68690372940157
mlp.1.8.nfe,94.48329448329449,91.24544666088465
mlp.2.16,95.26029526029526,91.47528187337381
mlp.2.16.nfe,94.21134421134422,91.6357328707719
mlp.3.32,94.7940947940948,91.55160450997398
mlp.3.32.nfe,93.86169386169386,92.41370338248048
