fold,n_layer,layer_size,features,f_engineer,normalize,acc
1,0,1,['length'],1,0,92.03508771929825
1,0,1,['length'],0,0,91.50877192982456
1,0,1,"['length', 'sd']",1,0,92.6842105263158
1,0,1,"['length', 'sd']",0,0,92.33333333333333
1,0,1,"['sd', 'range_value', 'length', 'sum_diff']",1,0,92.98245614035088
1,0,1,"['sd', 'range_value', 'length', 'sum_diff']",0,0,91.40350877192982
2,0,1,['length'],1,0,94.06140350877193
2,0,1,['length'],0,0,94.91228070175438
2,0,1,"['length', 'sd']",1,0,94.38596491228071
2,0,1,"['length', 'sd']",0,0,95.08771929824562
2,0,1,"['sd', 'range_value', 'length', 'sum_diff']",1,0,94.38596491228071
2,0,1,"['sd', 'range_value', 'length', 'sum_diff']",0,0,93.50877192982456
3,0,1,['length'],1,0,92.10526315789474
3,0,1,['length'],0,0,93.50877192982456
3,0,1,"['length', 'sd']",1,0,92.45614035087719
3,0,1,"['length', 'sd']",0,0,93.6842105263158
3,0,1,"['sd', 'range_value', 'length', 'sum_diff']",1,0,93.10526315789474
3,0,1,"['sd', 'range_value', 'length', 'sum_diff']",0,0,93.15789473684211
4,0,1,['length'],1,0,93.50877192982456
4,0,1,['length'],0,0,94.38596491228071
4,0,1,"['length', 'sd']",1,0,93.6842105263158
4,0,1,"['length', 'sd']",0,0,94.38596491228071
4,0,1,"['sd', 'range_value', 'length', 'sum_diff']",1,0,94.38596491228071
4,0,1,"['sd', 'range_value', 'length', 'sum_diff']",0,0,94.38596491228071
5,0,1,['length'],1,0,88.40070298769771
5,0,1,['length'],0,0,89.63093145869946
5,0,1,"['length', 'sd']",1,0,88.75219683655537
5,0,1,"['length', 'sd']",0,0,90.50966608084359
5,0,1,"['sd', 'range_value', 'length', 'sum_diff']",1,0,89.27943760984182
5,0,1,"['sd', 'range_value', 'length', 'sum_diff']",0,0,89.103690685413
6,0,1,['length'],1,0,94.02460456942003
6,0,1,['length'],0,0,94.20035149384886
6,0,1,"['length', 'sd']",1,0,94.02460456942003
6,0,1,"['length', 'sd']",0,0,93.67311072056239
6,0,1,"['sd', 'range_value', 'length', 'sum_diff']",1,0,94.37609841827768
6,0,1,"['sd', 'range_value', 'length', 'sum_diff']",0,0,94.37609841827768
1,1,2,['length'],1,1,94.21052631578948
1,1,2,['length'],0,1,93.50877192982456
1,1,2,"['length', 'sd']",1,1,93.6842105263158
1,1,2,"['length', 'sd']",0,1,94.03508771929825
1,1,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.33333333333333
1,1,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.21052631578948
1,1,4,['length'],1,1,93.33333333333333
1,1,4,['length'],0,1,93.50877192982456
1,1,4,"['length', 'sd']",1,1,94.33333333333333
1,1,4,"['length', 'sd']",0,1,94.03508771929825
1,1,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,95.80701754385964
1,1,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.91228070175438
1,1,8,['length'],1,1,93.50877192982456
1,1,8,['length'],0,1,92.80701754385964
1,1,8,"['length', 'sd']",1,1,92.98245614035088
1,1,8,"['length', 'sd']",0,1,93.33333333333333
1,1,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,91.57894736842105
1,1,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.38596491228071
1,1,16,['length'],1,1,92.63157894736842
1,1,16,['length'],0,1,93.33333333333333
1,1,16,"['length', 'sd']",1,1,92.45614035087719
1,1,16,"['length', 'sd']",0,1,93.50877192982456
1,1,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,90.87719298245615
1,1,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,93.85964912280701
1,1,32,['length'],1,1,92.45614035087719
1,1,32,['length'],0,1,92.80701754385964
1,1,32,"['length', 'sd']",1,1,91.05263157894737
1,1,32,"['length', 'sd']",0,1,93.15789473684211
1,1,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.42105263157895
1,1,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.9298245614035
1,1,64,['length'],1,1,92.63157894736842
1,1,64,['length'],0,1,93.15789473684211
1,1,64,"['length', 'sd']",1,1,89.12280701754386
1,1,64,"['length', 'sd']",0,1,92.10526315789474
1,1,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,89.12280701754386
1,1,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.22807017543859
1,1,128,['length'],1,1,92.10526315789474
1,1,128,['length'],0,1,92.80701754385964
1,1,128,"['length', 'sd']",1,1,88.94736842105263
1,1,128,"['length', 'sd']",0,1,90.87719298245615
