method,fold1.test,fold2.test
BIC.1,92.21767115272089,91.74956114686952
linear.2,96.31363370392042,92.10064365125804
linear.2.nfe,95.90403744880047,92.23288472791106
linear.5,96.41363370392042,93.2943241661791
linear.5.nfe,94.96781743709772,93.32358104154476
mlp.1.8,96.49970743124634,92.92510239906378
mlp.1.8.nfe,96.255119953189,92.63253364540667
mlp.2.16,96.54768870684611,92.69104739613809
mlp.2.16.nfe,96.13809245172615,91.57401989467525
mlp.3.32,96.63809245172615,92.57401989467525
mlp.3.32.nfe,96.13809245172615,91.37401989467525
