sequenceID,sd,mean,range_value,abs_skewness,kurtosis,length,sum_diff,variance
100_chr1,0.097463293,0.009513981,1.529768463,0.15936557,14.72030026,499,45.84604877,0.009499094
100_chr11,0.102401021,-0.01590795,0.653467581,0.41378891,1.501734308,167,17.56770892,0.010485969
100_chr17,0.078085753,0.163680786,0.446656421,0.088422305,-0.125575065,175,14.50664968,0.006097385
100_chr2,0.107541682,-0.0187621,1.052265189,1.280583056,6.486537546,289,29.84070083,0.011565213
100_chr3,0.110052666,-0.043537528,0.669458775,0.657534769,0.913329118,217,26.28674339,0.012111589
100_chr4,0.106292295,-0.107039537,0.642866574,0.493514422,0.704497876,170,19.79716223,0.011298052
101_chr1,0.075920461,0.000254408,1.128341617,3.991511612,46.14742574,507,34.14890266,0.005763916
101_chr11,0.138099023,-0.35707977,0.928333877,1.540883056,3.810373952,169,23.78265991,0.01907134
101_chr17,0.083582986,0.328081392,0.639148077,0.148159589,3.166850918,181,13.99165093,0.006986116
101_chr2,0.395216152,0.356874834,3.575827876,6.353165136,42.66244047,296,43.99719109,0.156195807
101_chr3,0.132058173,-0.398019936,0.968925367,2.094390996,7.675064478,221,27.37951909,0.017439361
101_chr4,0.074229913,-0.003240238,0.414221264,0.324399994,0.330230018,191,15.86728178,0.00551008
102_chr1,0.339892401,-0.363918654,1.29310526,0.1134784,-1.763425797,506,42.13926407,0.115526844
102_chr11,0.060024914,7.22E-05,0.371270155,0.38840553,1.027600075,171,11.43399665,0.00360299
102_chr17,0.161850487,0.090123762,0.723098071,1.592515782,1.515374806,180,12.9517992,0.02619558
102_chr2,0.265984294,0.061803857,1.454104739,0.046920264,1.369035465,294,22.26121314,0.070747644
102_chr3,0.06923418,-0.011148585,0.833314827,2.03483304,22.5845321,226,14.90691455,0.004793372
102_chr4,0.063716987,-0.022755741,0.390223951,0.682701199,1.611972257,192,12.4883731,0.004059854
103_chr1,0.482915071,-0.329765488,1.710820487,0.279091685,-1.308965099,480,46.67446582,0.233206965
103_chr11,0.084703366,-0.019079907,0.447572929,0.016111277,-0.137927757,150,11.35378743,0.00717466
103_chr17,0.229966087,0.184065505,0.942167129,0.664353079,-0.939724317,168,14.02151074,0.052884401
103_chr2,0.642087378,0.111285087,5.068774034,5.896976272,34.53284883,244,28.27154726,0.4122762
103_chr22,0.235526385,-0.025357302,2.307588656,6.254143615,50.62527958,82,11.81490249,0.055472678
103_chr3,0.066379077,-0.102555991,0.383628795,0.410475037,0.439351848,199,12.91961882,0.004406182
103_chr4,0.068573888,-0.004421674,0.375683061,0.353823235,0.056121244,151,10.18890163,0.004702378
103_chrX,0.173811339,-0.013974601,1.765790339,7.886786629,72.08032084,97,9.447243086,0.030210382
104_chr1,0.281931458,-0.20436323,2.256891474,0.637325727,1.175946324,478,78.10733549,0.079485347
104_chr11,0.160914547,0.043679634,0.901710357,0.218875488,-0.028462609,155,22.15786963,0.025893491
104_chr17,0.368970214,-0.289209589,2.454607971,0.926395182,2.293045497,169,33.0473242,0.136139019
104_chr2,0.609225986,0.028370994,6.645840556,8.429406249,75.88642607,269,55.00891662,0.371156301
104_chr3,0.163237098,-0.029997512,1.004193884,0.128236615,0.414271947,198,30.11765992,0.02664635
104_chr4,0.167209764,-0.065526312,0.961525852,0.600502008,0.960350086,155,26.08627367,0.027959105
105_chr1,0.070407786,0.050604869,0.455,0.490121885,0.700972125,534,40.534,0.004957256
105_chr11,0.062374679,-0.076741206,0.395,0.107135608,0.804095848,199,12.924,0.003890601
105_chr17,0.067223279,0.042242021,0.563,0.11804586,2.954270082,188,12.461,0.004518969
105_chr2,0.06745515,-0.088465261,0.757,0.667945369,5.566587817,332,22.63526667,0.004550197
105_chr3,0.061370036,-0.087603113,0.338,0.697431383,0.657531138,257,16.628,0.003766281
105_chr4,0.067588464,0.011392857,0.343,1.045842935,1.059687731,238,16.567,0.0045682
