sequenceID,llda
360_chr2,0.64463544
360_chr3,-0.56365424
360_chr4,-0.63510317
360_chr5,-0.46839118
360_chrX,-0.34146383
361_chr1,-0.73676693
361_chr11,-0.80727553
361_chr17,-0.78546625
361_chr2,-0.80727553
361_chr3,-0.7810435
361_chr4,-0.67377895
362_chr1,-0.46067917
362_chr11,-0.6137223
362_chr17,-0.6680997
362_chr19,-0.6900641
362_chr2,0.35752988
362_chr3,-0.6077391
362_chr4,-0.60572886
362_chr8,-0.73596996
363_chr1,-0.5705801
363_chr11,-0.7415136
363_chr17,-0.62246907
363_chr2,-0.65871805
363_chr3,-0.688168
363_chr4,-0.54378986
364_chr1,-0.80727553
364_chr11,-0.80727553
364_chr17,-0.80727553
364_chr2,-0.80727553
364_chr3,-0.80727553
365_chr1,-0.7664221
365_chr11,-0.80727553
365_chr17,-0.80727553
365_chr2,-0.80727553
365_chr3,-0.80727553
365_chr4,-0.80727553
365_chrX,-0.30387408
366_chr1,-0.80727553
366_chr11,-0.80727553
366_chr17,-0.80727553
366_chr2,-0.80727553
366_chr3,-0.80727553
366_chr4,-0.80727553
367_chr1,-0.80727553
367_chr11,-0.80727553
367_chr17,-0.80727553
367_chr2,-0.79000676
367_chr3,-0.80727553
367_chr4,-0.80727553
368_chr11,-0.17189175
368_chr17,0.17030817
368_chr2,-0.025639594
368_chr9,-0.79931265
369_chr1,0.25742316
369_chr11,-0.78424716
369_chr16,-0.6942708
369_chr17,-0.80727553
369_chr19,-0.04856223
369_chr2,-0.7913203
369_chr3,-0.80727553
369_chr4,-0.80727553
36_chr1,-0.80727553
36_chr11,-0.80727553
36_chr17,-0.80727553
36_chr2,-0.80727553
36_chr3,-0.80727553
36_chr4,-0.80727553
371_chr1,-0.6718308
371_chr10,-0.7643392
371_chr11,-0.7863902
371_chr14,-0.67593014
371_chr16,-0.64637107
371_chr17,-0.6510668
371_chr2,-0.80727553
371_chr3,-0.80727553
371_chr4,-0.80727553
371_chr9,-0.76096064
373_chr1,-0.7226799
373_chr11,-0.69569606
373_chr13,-0.80727553
373_chr14,-0.7334669
373_chr17,-0.7477958
373_chr2,-0.80380255
373_chr3,-0.80727553
373_chr4,-0.80727553
373_chrX,-0.5754089
375_chr1,-0.16027784
375_chr12,-0.76513994
375_chr14,-0.80727553
375_chr17,-0.6774517
375_chr2,-0.80727553
375_chr3,-0.48464298
375_chr4,-0.61555016
375_chr7,-0.6226887
376_chr1,-0.80727553
376_chr11,-0.80727553
376_chr17,-0.80727553
376_chr2,-0.80727553
376_chr3,-0.80727553
376_chr4,-0.80727553
377_chr1,-0.80727553
377_chr11,-0.80727553
377_chr17,-0.80727553
377_chr2,-0.80727553
377_chr3,-0.80727553
377_chr4,-0.80727553
377_chrX,-0.42307904
378_chr1,-0.17829794
378_chr10,-0.47632188
378_chr11,-0.33856457
378_chr17,-0.80727553
378_chr2,-0.654391
378_chr3,-0.7357441
378_chr4,-0.7092042
378_chr7,-0.28464264
379_chr1,-0.7853867
379_chr11,-0.80727553
379_chr17,-0.80727553
379_chr2,-0.7468307
379_chr3,-0.80727553
379_chr4,-0.60173047
379_chr5,-0.6708073
379_chrX,-0.21469939
37_chr1,-0.80727553
37_chr11,-0.80727553
37_chr17,-0.80727553
37_chr2,-0.80727553
37_chr3,-0.80727553
37_chr4,-0.80727553
380_chr1,-0.72493225
380_chr11,-0.80727553
380_chr12,-0.26025873
380_chr17,-0.80727553
380_chr19,-0.80727553
380_chr2,-0.80727553
380_chr3,-0.80727553
380_chr4,-0.80727553
381_chr1,-0.80727553
381_chr11,-0.80727553
381_chr12,-0.22776496
381_chr17,-0.80727553
381_chr2,-0.80727553
381_chr3,-0.80727553
381_chr4,-0.80727553
382_chr1,-0.78237814
382_chr11,-0.7348363
382_chr17,-0.80727553
382_chr2,-0.62971836
382_chr3,-0.80727553
382_chr4,-0.80727553
383_chr1,-0.80727553
383_chr11,-0.80727553
383_chr17,-0.80727553
383_chr2,-0.80727553
383_chr3,-0.80727553
383_chr4,-0.80727553
383_chrX,-0.5126003
384_chr1,-0.80727553
384_chr11,-0.80727553
384_chr17,-0.80727553
384_chr2,-0.80727553
384_chr3,-0.80727553
384_chr4,-0.80727553
385_chr1,-0.7776295
385_chr11,-0.80727553
385_chr17,-0.80727553
385_chr2,-0.80727553
385_chr3,-0.80727553
385_chr4,-0.80727553
386_chr1,-0.73513067
386_chr11,-0.80727553
386_chr17,-0.80727553
386_chr2,-0.79153043
386_chr3,-0.80727553
386_chr4,-0.80727553
387_chr1,-0.80727553
387_chr11,-0.57181394
387_chr14,-0.5487121
387_chr17,-0.7281375
387_chr2,-0.80727553
387_chr3,-0.80727553
387_chr4,-0.80727553
387_chr5,-0.54010874
388_chr1,-0.7851996
388_chr11,-0.80727553
388_chr17,-0.80727553
388_chr2,-0.80727553
388_chr3,-0.80727553
388_chr4,-0.80727553
389_chr1,-0.7067271
389_chr11,-0.80727553
389_chr17,-0.80727553
389_chr2,-0.7217178
389_chr3,-0.80727553
389_chr4,-0.80727553
38_chr1,-0.7898466
38_chr17,-0.6105705
38_chr2,-0.77531964
38_chr3,-0.80727553
38_chr4,-0.80727553
390_chr1,-0.80727553
390_chr11,-0.80727553
390_chr17,-0.80727553
390_chr2,-0.80727553
390_chr3,-0.80727553
390_chr4,-0.80727553
391_chr1,-0.7614028
391_chr11,-0.80118304
391_chr17,-0.80727553
391_chr2,-0.7710337
391_chr3,-0.80727553
391_chr4,-0.80727553
392_chr1,-0.80727553
392_chr11,-0.80727553
392_chr17,-0.80727553
392_chr2,-0.80576885
392_chr3,-0.80727553
392_chr4,-0.80727553
393_chr1,-0.80727553
393_chr11,-0.80727553
393_chr17,-0.80727553
393_chr2,-0.80727553
393_chr3,-0.80727553
393_chr4,-0.80727553
394_chr1,-0.6649152
394_chr11,-0.80727553
394_chr17,-0.80727553
394_chr2,-0.80727553
394_chr3,-0.80727553
394_chr4,-0.80727553
395_chr1,-0.70026183
395_chr11,-0.80727553
395_chr17,-0.80727553
395_chr2,-0.72814155
395_chr3,-0.80727553
395_chr4,-0.80727553
396_chr1,-0.7015683
396_chr11,-0.80727553
