sequenceID,llda
360_chr2,1.2084666
360_chr3,0.1260706
360_chr4,-0.07826277
360_chr5,0.24803333
360_chrX,0.3389464
361_chr1,-0.18483141
361_chr11,-0.5555357
361_chr17,-0.476858
361_chr2,-0.47257233
361_chr3,-0.4026999
361_chr4,-0.19079863
362_chr1,0.3334395
362_chr11,-0.049772043
362_chr17,-0.14631371
362_chr19,-0.46156582
362_chr2,0.97604746
362_chr3,0.0022206395
362_chr4,-0.0018879372
362_chr8,-0.3653274
363_chr1,0.12508889
363_chr11,-0.32827657
363_chr17,-0.031447418
363_chr2,-0.020534968
363_chr3,-0.108962744
363_chr4,0.11224994
364_chr1,-0.7340772
364_chr11,-1.2862209
364_chr17,-1.2654318
364_chr2,-0.91119283
364_chr3,-1.0474865
365_chr1,-0.3160435
365_chr11,-0.98803043
365_chr17,-1.203457
365_chr2,-0.77584106
365_chr3,-0.9140652
365_chr4,-0.85077
365_chrX,0.34920248
366_chr1,-0.824458
366_chr11,-1.1788217
366_chr17,-1.0646962
366_chr2,-0.9905791
366_chr3,-1.090851
366_chr4,-0.6928637
367_chr1,-0.43209782
367_chr11,-0.79524916
367_chr17,-0.694685
367_chr2,-0.35996217
367_chr3,-0.67793196
367_chr4,-0.7252347
368_chr11,0.11324417
368_chr17,0.45577586
368_chr2,0.4372314
368_chr9,-0.66163856
369_chr1,0.9049573
369_chr11,-0.49209097
369_chr16,-0.5255384
369_chr17,-0.64622873
369_chr19,0.12673761
369_chr2,-0.37938514
369_chr3,-0.6579789
369_chr4,-0.82624453
36_chr1,-0.56117517
36_chr11,-1.0461891
36_chr17,-0.6457417
36_chr2,-0.6329196
36_chr3,-1.0551547
36_chr4,-0.8114685
371_chr1,-0.1446952
371_chr10,-0.6634767
371_chr11,-0.59263194
371_chr14,-0.49798554
371_chr16,-0.4420447
371_chr17,-0.28095645
371_chr2,-0.5555929
371_chr3,-0.5334715
371_chr4,-0.70130247
371_chr9,-0.59832424
373_chr1,-0.23965372
373_chr11,-0.3151837
373_chr13,-0.90956527
373_chr14,-0.6176751
373_chr17,-0.4618873
373_chr2,-0.45516807
373_chr3,-0.57980394
373_chr4,-0.77613413
373_chrX,-0.21988223
375_chr1,0.5352883
375_chr12,-0.40373555
375_chr14,-0.95500696
375_chr17,-0.40098974
375_chr2,-0.7001283
375_chr3,-0.09199009
375_chr4,-0.38055673
375_chr7,-0.45086598
376_chr1,-0.8464671
376_chr11,-1.7720838
376_chr17,-1.3651313
376_chr2,-1.1490211
376_chr3,-1.578155
376_chr4,-1.3327477
377_chr1,-0.50169724
377_chr11,-0.81603235
377_chr17,-0.90683156
377_chr2,-0.3929423
377_chr3,-0.50693685
377_chr4,-0.7270267
377_chrX,0.22528702
378_chr1,0.50921166
378_chr10,-0.0032659818
378_chr11,0.081711814
378_chr17,-0.5067053
378_chr2,-0.01935114
378_chr3,-0.2357716
378_chr4,-0.20025711
378_chr7,0.13989972
379_chr1,-0.3483951
379_chr11,-0.5275226
379_chr17,-0.5122991
379_chr2,-0.18113564
379_chr3,-0.46113145
379_chr4,0.006906962
379_chr5,-0.15970571
379_chrX,0.4568986
37_chr1,-0.5954004
37_chr11,-0.96225256
37_chr17,-0.7980548
37_chr2,-0.7778768
37_chr3,-1.1214646
37_chr4,-0.66495824
380_chr1,-0.16886093
380_chr11,-0.9210077
380_chr12,0.35705388
380_chr17,-0.86427647
380_chr19,-1.0846597
380_chr2,-0.47051153
380_chr3,-1.1060632
380_chr4,-1.0694131
381_chr1,-0.5313463
381_chr11,-0.7592562
381_chr12,0.45400915
381_chr17,-0.6596768
381_chr2,-0.62673736
381_chr3,-0.58537674
381_chr4,-0.47421458
382_chr1,-0.34329587
382_chr11,-0.42880723
382_chr17,-1.3504516
382_chr2,-0.083467595
382_chr3,-1.0448997
382_chr4,-1.0802189
383_chr1,-0.46145907
383_chr11,-1.073154
383_chr17,-0.95152676
383_chr2,-0.5144666
383_chr3,-0.5708085
383_chr4,-0.8690669
383_chrX,0.07317066
384_chr1,-0.5379346
384_chr11,-0.6831918
384_chr17,-1.0467772
384_chr2,-1.030997
384_chr3,-1.2801106
384_chr4,-1.4128491
385_chr1,-0.32875466
385_chr11,-0.98059046
385_chr17,-0.6786383
385_chr2,-0.43710822
385_chr3,-0.7794899
385_chr4,-0.56881183
386_chr1,-0.22587046
386_chr11,-0.89805114
386_chr17,-0.64460063
386_chr2,-0.32465047
386_chr3,-0.9205623
386_chr4,-0.9336336
387_chr1,-0.45723742
387_chr11,-0.3314843
387_chr14,-0.4676614
387_chr17,-0.56795776
387_chr2,-0.97521263
387_chr3,-1.028466
387_chr4,-0.51583844
387_chr5,-0.25858033
388_chr1,-0.37954044
388_chr11,-1.1181997
388_chr17,-0.8680369
388_chr2,-0.58089685
388_chr3,-0.8771585
388_chr4,-0.5911623
389_chr1,-0.17683539
389_chr11,-1.1415089
389_chr17,-0.79514545
389_chr2,-0.1986812
389_chr3,-0.78134644
389_chr4,-0.84127575
38_chr1,-0.42696193
38_chr17,-0.12815863
38_chr2,-0.3303307
38_chr3,-0.67304623
38_chr4,-0.84335047
390_chr1,-0.95547456
390_chr11,-1.496438
390_chr17,-1.1273235
390_chr2,-1.3287779
390_chr3,-1.4185693
390_chr4,-1.4947441
391_chr1,-0.28134406
391_chr11,-0.43079218
391_chr17,-0.86244315
391_chr2,-0.26998672
391_chr3,-0.6881648
391_chr4,-0.93421566
392_chr1,-0.7443488
392_chr11,-0.9146561
392_chr17,-0.86275715
392_chr2,-0.41340566
392_chr3,-0.62681085
392_chr4,-0.6837557
393_chr1,-0.5319153
393_chr11,-1.2681543
393_chr17,-1.5956681
393_chr2,-1.0201916
393_chr3,-0.853437
393_chr4,-0.9039358
394_chr1,-0.07158846
394_chr11,-0.9396262
394_chr17,-0.54227173
394_chr2,-0.37640956
394_chr3,-0.5090121
394_chr4,-0.75596
395_chr1,-0.15257062
395_chr11,-0.7174556
395_chr17,-0.69073755
395_chr2,-0.18911314
395_chr3,-0.55486345
395_chr4,-0.4762815
396_chr1,-0.13490362
396_chr11,-0.71689326
396_chr17,-0.90142566
396_chr2,-0.28056192
396_chr3,-0.74561465
396_chr4,-0.5871011
397_chr1,-0.19120178
397_chr11,-0.8820267
397_chr17,-0.5501446
397_chr2,-0.56176794
397_chr3,-0.37146094
397_chr4,-0.8969595
398_chr1,-0.48056242
398_chr11,-0.5980856
398_chr17,-0.7880874
398_chr2,-0.15301064
398_chr3,-0.29642612
398_chr4,-0.4331945
399_chr1,-0.11988679
399_chr11,-0.92733043
399_chr17,-0.8716964
399_chr2,-0.4506975
399_chr3,-0.7024524
399_chr4,-0.3277104
39_chr1,0.050093517
39_chr11,0.042562712
39_chr17,-0.12067247
39_chr18,-0.803091
39_chr2,-1.0329871
39_chr20,-0.87603575
39_chr3,-0.86901593
39_chr4,-0.4093641
39_chr7,-0.40706152
39_chr8,-0.63625395
400_chr1,-0.3173167
400_chr11,-0.27229738
400_chr17,-0.21648772
400_chr2,-0.26388058
400_chr3,-0.61451024
400_chr4,-0.71604985
401_chr1,-0.3553889
401_chr11,-1.2389456
401_chr17,-0.7329037
401_chr2,-0.3366618
401_chr3,-0.38962448
401_chr4,-0.5273885
402_chr1,-0.06233086
402_chr11,-0.8013413
402_chr17,-0.42064223
402_chr2,-0.41051123
402_chr3,-0.2774504
402_chr4,-0.64922494
403_chr1,-0.35566378
403_chr11,-0.8179489
403_chr17,-1.3261026
403_chr2,-0.8472427
403_chr3,-0.49015775
403_chr4,-0.7828192
405_chr1,-0.808621
405_chr11,-1.4236455
405_chr17,-1.5196681
405_chr2,-1.0705475
405_chr3,-1.0543348
405_chr4,-1.5845134
406_chr1,-0.333985
406_chr11,-0.9479329
406_chr17,-0.6031623
406_chr2,-0.6582784
406_chr3,-0.5959256
406_chr4,-0.8380097
407_chr1,-0.46089843
407_chr11,-0.7404914
407_chr17,-0.9997986
407_chr2,-0.46245998
407_chr3,-0.3788148
407_chr4,-0.51888925
408_chr1,-0.26126873
408_chr11,-0.9356965
408_chr17,-0.6238877
408_chr2,-0.2700532
408_chr3,-0.9434128
408_chr4,-0.55652666
409_chr1,-0.04552533
409_chr11,-0.49142885
409_chr17,-0.34208584
409_chr2,0.02228945
409_chr3,-0.35878944
409_chr4,-0.05865225
40_chr1,-0.02162252
40_chr11,0.15974751
40_chr17,-0.053055186
40_chr2,0.15345246
40_chr3,-0.3017465
40_chr4,-0.063549906
410_chr1,0.44892526
410_chr11,-0.4421478
410_chr17,-0.0950297
410_chr2,-0.26250944
410_chr3,-0.26067716
410_chr4,-0.51887375
411_chr1,-0.35919443
411_chr11,-0.9860185
411_chr17,-0.79844826
411_chr2,-0.53587705
411_chr3,-0.6582759
411_chr4,-0.46381024
412_chr1,-0.24728037
412_chr11,-0.030252142
412_chr17,-0.29106772
412_chr2,-0.398782
412_chr3,-0.6589669
412_chr4,-0.24848884
413_chr1,-0.11518564
413_chr11,-0.710541
413_chr17,-0.5068773
413_chr2,-0.36855417
413_chr3,-0.66034335
413_chr4,-0.4685914
414_chr1,-0.13230367
414_chr11,-0.81933737
414_chr17,-0.6977746
414_chr2,-0.5447995
414_chr3,-0.28859174
414_chr4,-0.5157611
415_chr1,0.058068313
415_chr11,-0.6462323
415_chr17,-0.5453793
415_chr2,0.037914146
415_chr3,-0.42112437
415_chr4,-0.51886755
416_chr1,-0.17067985
416_chr11,-0.73229676
416_chr17,-0.34329972
416_chr2,-0.35115513
416_chr3,-0.9619883
416_chr4,-0.8253421
417_chr1,0.21548603
417_chr11,-0.3010459
417_chr17,-0.320862
417_chr2,-0.58451456
417_chr3,-0.6594307
417_chr4,-0.35187286
418_chr1,-0.46875408
418_chr11,-0.62788415
418_chr17,-0.7840528
418_chr2,-0.7155936
418_chr3,-0.8367738
418_chr4,-0.54309624
419_chr1,-0.11595592
419_chr11,-0.26138872
419_chr17,-0.5750233
419_chr2,-0.33056813
419_chr3,-0.77094835
419_chr4,-0.38905272
41_chr1,-0.29343906
41_chr11,-0.87847143
41_chr17,-1.1114758
41_chr2,-0.91791046
41_chr3,-1.0273588
41_chr4,-0.6552457
420_chr1,0.27322185
420_chr11,0.060629785
420_chr17,-0.24148075
420_chr2,0.10018208
420_chr3,-0.25859097
420_chr4,-0.39090973
421_chr1,-0.37466216
421_chr11,-0.6555985
421_chr17,-1.1209426
421_chr2,-0.67383987
421_chr3,-0.94397753
421_chr4,-0.8372345
421_chr5,-0.62863415
422_chr1,-0.010171804
422_chr11,-0.3664222
422_chr17,-0.2367412
422_chr2,-0.25306574
422_chr3,-0.7364808
422_chr4,-0.5965816
423_chr1,-0.03861045
423_chr11,-0.4856455
423_chr17,-0.29260063
423_chr2,0.027172225
423_chr3,-0.64163625
423_chr4,-0.50630957
424_chr1,-0.47216937
424_chr11,-0.9987351
424_chr17,-0.31910047
424_chr2,-0.42616922
424_chr3,-0.7603241
424_chr4,-0.63967985
425_chr1,-0.76471734
425_chr11,-0.82655764
425_chr17,-0.7100007
425_chr2,-1.034286
425_chr3,-1.1978076
425_chr4,-0.9461835
427_chr1,-0.5983192
427_chr11,-0.67782044
427_chr17,-0.6643162
427_chr2,-0.48730862
427_chr3,-0.6059965
427_chr4,-0.74276966
428_chr1,-0.48305273
428_chr11,-0.9519345
428_chr17,-0.46783417
428_chr2,-0.80700135
428_chr3,-0.9868022
428_chr4,-0.68887836
429_chr1,-0.7756686
429_chr11,-0.6623868
429_chr17,-0.2577409
429_chr2,-0.87274075
429_chr3,-1.1383747
429_chr4,-0.76386416
429_chr5,-0.7203752
429_chr6,-0.8005528
42_chr1,-0.2283242
42_chr11,-0.61386967
42_chr17,-0.7416483
42_chr2,-0.7297307
42_chr3,-0.90850276
42_chr4,-1.1701674
430_chr1,-0.42057714
430_chr11,-0.46498162
430_chr17,-0.7503181
430_chr2,-0.27353212
430_chr3,-0.54370636
430_chr4,-0.8670041
431_chr1,-0.4689872
431_chr11,-0.421592
431_chr17,-0.4084051
431_chr2,-0.7430678
431_chr3,-1.1909459
431_chr4,-0.35036007
432_chr1,-0.3307819
432_chr11,-0.7309121
432_chr17,-0.2720183
432_chr2,-0.57999665
432_chr3,-1.082852
432_chr4,-0.69664806
433_chr1,-0.83134085
433_chr11,-0.5242497
433_chr17,-0.71797854
433_chr2,0.03932276
433_chr3,-1.0485535
433_chr4,-0.95982844
434_chr1,-0.954131
434_chr11,-1.3253468
434_chr17,-0.764513
434_chr2,-0.8844264
434_chr3,-1.289615
434_chr4,-0.67942727
435_chr1,-0.34387082
435_chr11,-0.7034915
435_chr17,-0.42131218
435_chr2,-0.7799605
435_chr3,-1.1324266
435_chr4,-0.78582305
436_chr1,-0.52578366
436_chr11,-0.98785985
436_chr17,-0.43119603
436_chr2,-0.7003917
436_chr3,-0.9719405
436_chr4,-0.7686872
437_chr1,-0.40200835
437_chr11,-0.7651953
437_chr17,-0.45901874
437_chr2,-0.90838087
437_chr3,-0.7756491
437_chr4,-0.72862434
438_chr1,-0.64929557
438_chr11,-0.59584606
438_chr17,-0.36429077
438_chr2,-0.93612134
438_chr3,-0.86589956
438_chr4,-0.65240866
439_chr1,-0.33571205
439_chr11,-0.5726449
439_chr17,-0.47420585
439_chr2,-0.6573849
439_chr3,-0.96648735
439_chr4,-0.6024911
43_chr1,-0.015328943
43_chr11,-0.59772515
43_chr17,-0.44648293
43_chr2,-0.5861036
43_chr3,-0.57355374
43_chr4,-0.31407762
440_chr1,-0.71952724
440_chr11,-0.7583629
440_chr2,-0.9346343
440_chr3,-0.88918215
440_chr4,-0.79062474
441_chr1,-0.58055866
441_chr11,-0.88717103
441_chr17,-0.96216303
441_chr2,-1.0067521
441_chr3,-1.2258393
441_chr4,-1.1334772
442_chr1,-0.2979834
442_chr11,-0.8714346
442_chr17,-0.66922116
442_chr2,-0.8026922
442_chr3,-0.82454634
442_chr4,-0.60695136
443_chr1,-0.19507109
443_chr11,-0.8137289
443_chr17,-1.1177565
443_chr2,-0.99987364
443_chr3,-0.600633
443_chr4,-1.1827137
444_chr1,-0.6754006
444_chr11,-0.9585723
444_chr17,-0.6594594
444_chr2,-0.41968784
444_chr3,-1.012926
444_chr4,-0.294026
445_chr1,0.012723668
445_chr11,-0.50415385
445_chr17,-0.051193114
445_chr2,-0.06588262
445_chr3,-0.4148205
445_chr4,-0.37047926
446_chr1,-0.11722354
446_chr10,-0.5957654
446_chr11,-0.28200483
446_chr17,-0.52391845
446_chr2,-0.38640723
446_chr3,-0.5554077
446_chr4,-0.82317305
446_chr8,-0.9003352
446_chr9,-0.8998858
447_chr1,-0.23091616
447_chr11,-0.7209418
447_chr17,-0.5124986
447_chr2,-0.57725537
447_chr3,-0.5863759
447_chr4,-0.55532205
448_chr1,-0.10074663
448_chr11,-0.6382968
448_chr17,-0.5236263
448_chr2,-0.61837196
448_chr3,-0.6576931
448_chr4,-0.59854406
449_chr1,-0.3975314
449_chr11,-0.82857573
449_chr17,-0.39755195
449_chr2,-0.66097605
449_chr3,-0.4685868
449_chr4,-0.45708293
44_chr1,-0.009045566
44_chr11,0.52552193
44_chr17,-0.0957227
44_chr19,-0.74706084
44_chr2,-0.57673484
44_chr3,-0.25864798
44_chr4,-1.0394752
44_chr5,0.12148439
44_chr7,-0.6251197
450_chr1,-0.3927748
450_chr11,-0.98358804
450_chr17,-0.7486721
450_chr2,-0.35394546
450_chr3,-0.5047518
450_chr4,-0.7864554
451_chr1,-0.17808217
451_chr11,-0.7367239
451_chr17,-0.2612489
451_chr2,-0.272412
451_chr3,-0.68960065
451_chr4,-0.3793064
452_chr1,-0.27629328
452_chr11,-0.96932966
452_chr17,-0.5079292
452_chr2,-0.3401104
452_chr3,-0.51478827
452_chr4,-0.6272096
453_chr1,-0.2902724
453_chr11,-0.6590843
453_chr17,-0.6803042
453_chr2,-0.6977104
453_chr3,-0.33750767
453_chr4,-0.89127845
454_chr1,-0.5044088
454_chr11,-0.5343374
454_chr17,-0.48611027
454_chr2,-0.35234734
454_chr3,-0.44826484
454_chr4,-0.8128711
455_chr1,-0.5697933
455_chr11,-1.1828746
455_chr17,-1.3169813
455_chr2,-0.85886663
455_chr3,-1.1462674
455_chr4,-1.300392
456_chr1,-0.93900704
456_chr11,-1.4662868
456_chr17,-1.1244684
456_chr2,-1.2233887
456_chr3,-1.2494512
456_chr4,-1.3348575
457_chr1,-0.68565243
457_chr11,-1.3797164
457_chr17,-0.65429544
457_chr2,-1.2316457
457_chr3,-1.2145855
457_chr4,-0.9379111
458_chr1,-0.8532219
458_chr11,-1.3973684
458_chr17,-0.69141275
458_chr2,-0.86499864
458_chr3,-0.9186727
458_chr4,-1.2100079
459_chr1,-0.8038887
459_chr11,-1.2574021
459_chr17,-0.1555661
459_chr2,-1.1826569
459_chr3,-0.71219087
459_chr4,-1.4661162
45_chr1,-0.940977
45_chr11,-0.96866673
45_chr17,-1.2184298
45_chr2,-0.903706
45_chr3,-1.3117406
45_chr4,-1.1660057
460_chr1,-0.7908763
460_chr11,-0.8441823
460_chr17,-0.3518495
460_chr2,-0.9092095
460_chr3,-1.0690571
460_chr4,-0.69571084
462_chr1,-0.6179215
462_chr11,-0.79869133
462_chr17,-0.4136208
462_chr2,-0.6138795
462_chr3,-1.0791489
462_chr4,-0.88477176
463_chr1,-0.73435485
463_chr11,-1.1128521
463_chr17,-0.40814248
463_chr2,-1.2686386
463_chr3,-0.7412153
463_chr4,-1.2984004
464_chr1,-0.69627815
464_chr11,-1.5929574
464_chr17,-0.5623567
464_chr2,-0.36227748
464_chr3,-0.5390349
464_chr4,-0.82947713
465_chr1,-0.6284906
465_chr11,-1.2140857
465_chr17,-0.900698
465_chr2,-1.2909352
465_chr3,-1.3150102
465_chr4,-0.7916176
466_chr1,-0.8320772
466_chr11,-1.0969068
466_chr17,-1.0409862
466_chr2,-1.080714
466_chr3,-1.0804529
466_chr4,-0.7885946
468_chr1,-0.66438484
468_chr11,-1.0338547
468_chr17,-1.0325286
468_chr2,-0.7106405
468_chr3,-1.1327814
468_chr4,-0.80417836
469_chr1,-0.63706625
469_chr11,-0.8773449
469_chr17,-0.8392913
469_chr2,-1.0807991
469_chr3,-0.49201387
469_chr4,-0.80779177
46_chr1,-0.25057164
46_chr11,-0.08348153
46_chr17,-0.3309944
46_chr2,-0.9031628
46_chr3,-0.35998833
46_chr4,-0.16185065
470_chr1,-0.22415063
470_chr11,-0.89211935
470_chr17,-0.5162301
470_chr2,-0.56945455
470_chr3,-0.8826836
470_chr4,-0.9375916
470_chr9,-0.5504505
471_chr1,-0.3729637
471_chr11,-0.87793636
471_chr17,-1.0936949
471_chr2,-0.9078566
471_chr3,-1.0934193
471_chr4,-1.0981838
472_chr1,0.22630662
472_chr11,-0.37457326
472_chr17,-0.05537876
472_chr2,0.036181707
472_chr3,-0.31047907
472_chr4,-0.23608023
473_chr1,-0.33338958
473_chr11,-0.7033213
473_chr17,-0.24492122
473_chr2,-0.7228749
473_chr3,-0.74956423
473_chr4,-0.39489216
474_chr1,-0.25676712
474_chr11,-0.039842438
474_chr17,-0.06629012
474_chr2,-0.86282104
474_chr3,-0.9189366
474_chr4,-0.41830584
475_chr1,-0.47726664
475_chr11,-0.45115143
475_chr17,-0.7741122
475_chr2,-0.6781831
