sequenceID,llda
367_chr17,1.0010322
367_chr2,1.1386209
367_chr3,1.0759244
367_chr4,0.98433447
368_chr11,1.0716656
368_chr17,1.1542165
368_chr2,1.2449498
369_chr1,1.4031091
369_chr11,0.9904943
369_chr17,0.96406895
369_chr2,1.0925304
369_chr3,0.9521016
369_chr4,0.93845445
36_chr1,1.1284866
36_chr11,0.9163748
36_chr17,1.0312167
36_chr2,1.0898786
36_chr3,0.9830132
36_chr4,1.0413512
371_chr1,1.1361477
371_chr11,0.9551976
371_chr17,1.0318621
371_chr2,1.0310538
371_chr3,1.0242434
371_chr4,0.93235224
373_chr1,1.1170775
373_chr11,1.0448284
373_chr17,0.9888769
373_chr2,1.0303066
373_chr3,0.9941395
373_chr4,0.93061477
375_chr1,1.3528057
375_chr17,0.97928905
375_chr2,0.97164136
375_chr3,1.055333
375_chr4,0.9896627
376_chr1,1.0807889
376_chr11,0.6922745
376_chr17,0.86099756
376_chr2,0.95057106
376_chr3,0.813927
376_chr4,0.8515155
377_chr1,1.1131825
377_chr11,0.98477817
377_chr17,0.9687349
377_chr2,1.1197323
377_chr3,1.1022073
377_chr4,0.9829657
378_chr1,1.2832379
378_chr11,1.0828482
378_chr17,1.0047706
378_chr2,1.1803889
378_chr3,1.1125532
378_chr4,1.1193514
379_chr1,1.1429033
379_chr11,1.0311524
379_chr17,1.0233619
379_chr2,1.1722349
379_chr3,1.0495827
379_chr4,1.1511383
37_chr1,1.1197213
37_chr11,0.9546601
37_chr17,0.98366344
37_chr2,1.0693139
37_chr3,0.9214685
37_chr4,1.0382357
380_chr1,1.2705041
380_chr11,0.87841564
380_chr17,0.9486415
380_chr2,1.1506386
380_chr3,0.9058564
380_chr4,0.8845019
381_chr1,1.1423978
381_chr11,1.0280737
381_chr17,1.0054849
381_chr2,1.0816028
381_chr3,1.0412446
381_chr4,1.0614289
382_chr1,1.235611
382_chr11,0.99317086
382_chr17,0.8139371
382_chr2,1.2402378
382_chr3,0.9396101
382_chr4,0.92371947
383_chr1,1.2321599
383_chr11,0.9562866
383_chr17,0.94075876
383_chr2,1.1860329
383_chr3,1.0710534
383_chr4,0.9507888
384_chr1,1.2033671
384_chr11,0.9740474
384_chr17,0.9104912
384_chr2,0.99627244
384_chr3,0.9003745
384_chr4,0.83536154
385_chr1,1.2133877
385_chr11,0.95143336
385_chr17,0.9931488
385_chr2,1.1439271
385_chr3,1.0676458
385_chr4,1.0811433
386_chr1,1.259043
386_chr11,0.940915
386_chr17,1.0366362
386_chr2,1.206349
386_chr3,0.9943678
386_chr4,0.93649036
387_chr1,1.2397978
387_chr11,0.9716807
387_chr17,0.9731283
387_chr2,0.9912365
387_chr3,0.9548251
387_chr4,1.0809361
388_chr1,1.2215626
388_chr11,0.8680228
388_chr17,0.963792
388_chr2,1.1043149
388_chr3,0.97323424
388_chr4,0.9799971
389_chr1,1.3005922
389_chr11,0.9055283
389_chr17,0.9700469
389_chr2,1.2479519
389_chr3,1.0157158
389_chr4,0.9676703
38_chr1,1.0975282
38_chr17,1.1129658
38_chr2,1.1054951
38_chr3,1.0130193
38_chr4,0.9343971
390_chr1,1.0677549
390_chr11,0.8003801
390_chr17,0.9417991
390_chr2,0.9389436
390_chr3,0.91283387
390_chr4,0.87119335
391_chr1,1.2389163
391_chr11,1.0710669
391_chr17,0.94713014
391_chr2,1.1844373
391_chr3,1.027765
391_chr4,0.91500294
392_chr1,1.1220268
392_chr11,0.94505364
392_chr17,1.0153999
392_chr2,1.1987664
392_chr3,1.0603625
392_chr4,1.0266601
393_chr1,1.1838037
393_chr11,0.8471761
393_chr17,0.7757505
393_chr2,0.97043365
393_chr3,0.98155385
393_chr4,0.9751019
394_chr1,1.3002038
394_chr11,0.9266669
394_chr17,1.0192889
394_chr2,1.1541586
394_chr3,1.0933857
394_chr4,0.97093195
395_chr1,1.2380435
395_chr11,1.0003341
395_chr17,0.96418995
395_chr2,1.2142171
395_chr3,1.0508528
395_chr4,1.0744905
396_chr1,1.2833633
396_chr11,0.98129267
396_chr17,0.9145486
396_chr2,1.1803539
396_chr3,1.0126561
396_chr4,1.0628985
397_chr1,1.2715391
397_chr11,0.9738272
397_chr17,1.0374371
397_chr2,1.0846956
397_chr3,1.1783069
397_chr4,0.95182073
398_chr1,1.1253842
398_chr11,0.9981946
398_chr17,0.9592342
398_chr2,1.219535
398_chr3,1.1291981
398_chr4,1.0839522
399_chr1,1.2913817
399_chr11,0.92076856
399_chr17,0.9473051
399_chr2,1.133716
399_chr3,0.99165857
399_chr4,1.0850502
39_chr1,1.2474337
39_chr11,1.1006672
39_chr17,1.0322889
39_chr2,0.9791181
39_chr3,0.9662661
