sequenceID,llda
100_chr1,1.3124586
100_chr11,-0.16664001
100_chr17,-0.4384029
100_chr2,0.64585376
100_chr3,0.25317657
100_chr4,-0.031905353
101_chr1,0.7243153
101_chr11,0.439301
101_chr17,-0.4384029
101_chr2,1.7268898
101_chr3,0.53504294
101_chr4,-0.4384029
102_chr1,0.6295326
102_chr11,-0.4384029
102_chr17,-0.4384029
102_chr2,0.17045522
102_chr3,-0.25009328
102_chr4,-0.4384029
103_chr1,0.90685964
103_chr11,-0.4384029
103_chr17,-0.4384029
103_chr2,1.3142643
103_chr22,0.44796652
103_chr3,-0.4384029
103_chr4,-0.4384029
103_chrX,-0.097124934
104_chr1,2.0483713
104_chr11,0.31495744
104_chr17,1.355401
104_chr2,2.4472594
104_chr3,0.6910634
104_chr4,0.58685017
105_chr1,0.24418408
105_chr11,-0.4384029
105_chr17,-0.4384029
105_chr2,0.07106084
105_chr3,-0.4384029
105_chr4,-0.4384029
106_chr1,0.6736684
106_chr11,0.612551
106_chr14,-0.042140424
106_chr16,-0.4384029
106_chr17,0.29945362
106_chr3,0.36394393
106_chr4,-0.4384029
106_chr5,0.07150215
106_chr6,-0.11957592
106_chr8,0.2752586
106_chr9,-0.4384029
107_chr1,-0.14729059
107_chr11,-0.04436633
107_chr17,-0.4384029
107_chr2,-0.4384029
107_chr3,-0.05113563
107_chr4,-0.4384029
108_chr1,0.8197987
108_chr11,0.2837059
108_chr17,-0.4384029
108_chr2,-0.4279145
108_chr3,-0.4384029
108_chr4,0.22619504
109_chr1,0.49570906
109_chr11,-0.12273097
109_chr17,0.40915608
109_chr2,0.6713346
109_chr3,0.28961176
109_chr4,0.0069820583
109_chr8,-0.4384029
10_chr1,-0.14032593
10_chr11,-0.4384029
10_chr17,0.28241676
10_chr2,0.08867818
10_chr3,0.0922274
10_chr4,-0.4384029
110_chr1,0.5769793
110_chr11,-0.4384029
110_chr17,-0.4384029
110_chr2,0.28631747
110_chr3,-0.39900368
110_chr4,0.39924264
111_chr1,0.28063333
111_chr11,-0.353206
111_chr17,0.44816875
111_chr2,0.29877812
111_chr3,-0.19706658
111_chr4,0.1259796
112_chr1,0.5647633
112_chr11,0.599545
112_chr17,0.5506039
112_chr2,0.34648025
112_chr3,0.10481924
112_chr4,-0.4155357
113_chr1,0.14885819
113_chr10,-0.4384029
113_chr11,-0.2834974
113_chr13,-0.4384029
113_chr17,-0.11163479
113_chr2,-0.33390787
113_chr3,-0.22083738
113_chr4,-0.4384029
113_chr6,-0.4384029
113_chr7,-0.4384029
113_chr9,-0.4384029
114_chr1,0.17512262
114_chr11,-0.3976223
114_chr17,0.11056799
114_chr2,-0.3176229
114_chr3,0.24238741
114_chr4,-0.4384029
115_chr1,0.88084316
115_chr11,0.1636194
115_chr17,0.1656512
115_chr2,-0.10102308
115_chr3,-0.016952932
115_chr4,-0.1053437
116_chr1,0.75332713
116_chr11,-0.21450987
116_chr14,-0.21306548
116_chr17,-0.30885902
116_chr2,0.15545052
116_chr3,-0.16370702
116_chr4,-0.33159885
116_chrX,0.87639
117_chr1,0.8414922
117_chr11,-0.4384029
117_chr17,0.4150855
117_chr2,-0.34335333
117_chr3,-0.2065605
117_chr4,-0.35217482
118_chr1,-0.4384029
118_chr11,-0.30819434
118_chr17,-0.4384029
118_chr3,-0.01593694
118_chr4,-0.408407
119_chr1,0.37380928
119_chr11,-0.20694743
119_chr17,-0.3495653
119_chr2,0.10297954
119_chr3,-0.019329637
119_chr4,-0.4384029
