sequenceID,llda
367_chr17,1.4411027
367_chr2,0.7860606
367_chr3,1.2326802
367_chr4,1.3934633
368_chr11,1.5125619
368_chr17,1.4411027
368_chr2,0.7741507
369_chr1,0.71460146
369_chr11,1.9532266
369_chr17,1.7031196
369_chr2,1.3994182
369_chr3,1.589976
369_chr4,1.8222182
36_chr1,-1.4351279
36_chr11,1.0480775
36_chr17,0.97066337
36_chr2,-0.011899866
36_chr3,0.1250635
36_chr4,0.52999866
371_chr1,0.70269156
371_chr11,1.9472717
371_chr17,1.7924435
371_chr2,1.6376154
371_chr3,1.7150295
371_chr4,1.9889562
373_chr1,0.40494514
373_chr11,1.8639027
373_chr17,1.7269393
373_chr2,1.4530126
373_chr3,1.6316605
373_chr4,1.9353619
375_chr1,0.5657282
375_chr17,1.6912098
375_chr2,1.3994182
375_chr3,1.5780661
375_chr4,1.8579477
376_chr1,-0.36324066
376_chr11,1.5244718
376_chr17,1.4470577
376_chr2,0.8039254
376_chr3,1.2326802
376_chr4,1.4291929
377_chr1,-0.54784346
377_chr11,1.4708774
377_chr17,1.417283
377_chr2,0.750331
377_chr3,1.173131
377_chr4,1.3934633
378_chr1,-0.33942094
378_chr11,1.5363816
378_chr17,1.4530126
378_chr2,0.8396549
378_chr3,1.250545
378_chr4,1.5066069
379_chr1,-0.31560123
379_chr11,1.589976
379_chr17,1.5066069
379_chr2,1.0361676
379_chr3,1.3398689
379_chr4,1.6078408
37_chr1,-0.5776181
37_chr11,1.417283
37_chr17,1.3636887
37_chr2,0.6848268
37_chr3,1.1076267
37_chr4,1.2981844
380_chr1,-0.1845928
380_chr11,1.5304266
380_chr17,1.5542464
380_chr2,0.88729435
380_chr3,1.3815534
380_chr4,1.5363816
381_chr1,-0.27391672
381_chr11,1.5423365
381_chr17,1.5185168
381_chr2,0.85751975
381_chr3,1.333914
381_chr4,1.4887421
382_chr1,-0.58357304
382_chr11,1.4470577
382_chr17,1.4411027
382_chr2,0.7265113
382_chr3,1.1135817
382_chr4,1.3220042
383_chr1,-0.58952796
383_chr11,1.4470577
383_chr17,1.4411027
383_chr2,0.7324662
383_chr3,1.1314465
383_chr4,1.3220042
384_chr1,-0.58357304
384_chr11,1.4589676
384_chr17,1.4411027
384_chr2,0.7265113
384_chr3,1.1135817
384_chr4,1.333914
385_chr1,-0.57166314
385_chr11,1.4649224
385_chr17,1.4530126
385_chr2,0.74437606
385_chr3,1.1314465
385_chr4,1.3577337
386_chr1,-0.58952796
386_chr11,1.4411027
386_chr17,1.4470577
386_chr2,0.750331
386_chr3,1.1195366
386_chr4,1.3279591
387_chr1,-0.5597533
387_chr11,1.4530126
387_chr17,1.4470577
387_chr2,0.750331
387_chr3,1.1374013
387_chr4,1.3517787
388_chr1,-0.58357304
388_chr11,1.4589676
388_chr17,1.4530126
388_chr2,0.7622409
388_chr3,1.1374013
388_chr4,1.3458239
389_chr1,-0.5597533
389_chr11,1.4649224
389_chr17,1.4589676
389_chr2,0.8098803
389_chr3,1.167176
389_chr4,1.3696436
38_chr1,-0.40492517
38_chr17,1.4053732
38_chr2,0.7562859
38_chr3,1.2207704
38_chr4,1.3755985
390_chr1,-1.4351279
390_chr11,1.0480775
390_chr17,0.97066337
390_chr2,-0.017854795
390_chr3,0.13101843
390_chr4,0.5359536
391_chr1,-0.42874488
391_chr11,1.5363816
391_chr17,1.5006521
391_chr2,0.8932493
391_chr3,1.2148155
391_chr4,1.4530126
392_chr1,-0.46447444
392_chr11,1.4768323
392_chr17,1.4768323
392_chr2,0.84560984
392_chr3,1.1552662
392_chr4,1.4351478
393_chr1,-0.52997863
393_chr11,1.4768323
393_chr17,1.4530126
393_chr2,0.85156476
393_chr3,1.173131
393_chr4,1.3994182
394_chr1,-0.54188854
394_chr11,1.4827873
394_chr17,1.4589676
394_chr2,0.7979704
394_chr3,1.1493112
394_chr4,1.3755985
395_chr1,-0.5657082
395_chr11,1.4411027
395_chr17,1.4411027
395_chr2,0.7265113
395_chr3,1.1374013
395_chr4,1.3220042
396_chr1,-0.5240237
396_chr11,1.4649224
396_chr17,1.4530126
396_chr2,0.82179016
396_chr3,1.1493112
396_chr4,1.3517787
397_chr1,-0.5597533
397_chr11,1.4530126
397_chr17,1.4411027
397_chr2,0.73842114
397_chr3,1.173131
397_chr4,1.3636887
398_chr1,-0.5776181
398_chr11,1.4530126
398_chr17,1.4351478
398_chr2,0.750331
398_chr3,1.1374013
398_chr4,1.3398689
399_chr1,-0.5537984
399_chr11,1.4827873
399_chr17,1.4291929
399_chr2,0.7920155
399_chr3,1.1433563
399_chr4,1.4053732
39_chr1,-0.22032237
39_chr11,1.6078408
39_chr17,1.6018858
39_chr2,1.006393
39_chr3,1.3577337
39_chr4,1.5602013
400_chr1,-0.58357304
400_chr11,1.4351478
400_chr17,1.417283
400_chr2,0.74437606
400_chr3,1.1552662
400_chr4,1.3100944
401_chr1,-0.57166314
401_chr11,1.417283
401_chr17,1.4113281
401_chr2,0.7324662
401_chr3,1.1195366
401_chr4,1.3160492
402_chr1,-0.50615895
402_chr11,1.5066069
402_chr17,1.4470577
