sequenceID,llda
367_chr17,0.3290763
367_chr2,0.3290763
367_chr3,0.3290763
367_chr4,0.3290763
368_chr11,3.9403832
368_chr17,5.85274
368_chr2,4.485335
369_chr1,5.6478643
369_chr11,0.34953362
369_chr17,0.3290763
369_chr2,0.3290763
369_chr3,0.3290763
369_chr4,0.3290763
36_chr1,0.3290763
36_chr11,0.3290763
36_chr17,0.3290763
36_chr2,0.3290763
36_chr3,0.3290763
36_chr4,0.3290763
371_chr1,0.73471606
371_chr11,0.3767381
371_chr17,1.0982845
371_chr2,0.3290763
371_chr3,0.3290763
371_chr4,0.3290763
373_chr1,0.40643638
373_chr11,0.82050157
373_chr17,0.5620734
373_chr2,0.3290763
373_chr3,0.3290763
373_chr4,0.3290763
375_chr1,3.4089582
375_chr17,0.993793
375_chr2,0.3290763
375_chr3,2.0589514
375_chr4,1.3708228
376_chr1,0.3290763
376_chr11,0.3290763
376_chr17,0.3290763
376_chr2,0.3290763
376_chr3,0.3290763
376_chr4,0.3290763
377_chr1,0.3290763
377_chr11,0.3290763
377_chr17,0.3290763
377_chr2,0.3290763
377_chr3,0.3290763
377_chr4,0.3290763
378_chr1,3.224693
378_chr11,2.8881185
378_chr17,0.3290763
378_chr2,0.72396064
378_chr3,0.43518353
378_chr4,0.61994505
379_chr1,0.3290763
379_chr11,0.3290763
379_chr17,0.3290763
379_chr2,0.3290763
379_chr3,0.3290763
379_chr4,1.1919142
37_chr1,0.3290763
37_chr11,0.3290763
37_chr17,0.3290763
37_chr2,0.3290763
37_chr3,0.3290763
37_chr4,0.3290763
380_chr1,0.3290763
380_chr11,0.3290763
380_chr17,0.3290763
380_chr2,0.3290763
380_chr3,0.3290763
380_chr4,0.3290763
381_chr1,0.3290763
381_chr11,0.3290763
381_chr17,0.3290763
381_chr2,0.3290763
381_chr3,0.3290763
381_chr4,0.3290763
382_chr1,0.3290763
382_chr11,0.6062782
382_chr17,0.3290763
382_chr2,0.9437946
382_chr3,0.3290763
382_chr4,0.3290763
383_chr1,0.3290763
383_chr11,0.3290763
383_chr17,0.3290763
383_chr2,0.3290763
383_chr3,0.3290763
383_chr4,0.3290763
384_chr1,0.3290763
384_chr11,0.3290763
384_chr17,0.3290763
384_chr2,0.3290763
384_chr3,0.3290763
384_chr4,0.3290763
385_chr1,0.3290763
385_chr11,0.3290763
385_chr17,0.3290763
385_chr2,0.3290763
385_chr3,0.3290763
385_chr4,0.3290763
386_chr1,0.3290763
386_chr11,0.3290763
386_chr17,0.3290763
386_chr2,0.3290763
386_chr3,0.3290763
386_chr4,0.3290763
387_chr1,0.3290763
387_chr11,1.6325393
387_chr17,0.70906174
387_chr2,0.3290763
387_chr3,0.3290763
387_chr4,0.3290763
388_chr1,0.3290763
388_chr11,0.3290763
388_chr17,0.3290763
388_chr2,0.3290763
388_chr3,0.3290763
388_chr4,0.3290763
389_chr1,0.3570676
389_chr11,0.3290763
389_chr17,0.3290763
389_chr2,0.40840134
389_chr3,0.3290763
389_chr4,0.3290763
38_chr1,0.3290763
38_chr17,1.2227837
38_chr2,0.3290763
38_chr3,0.3290763
38_chr4,0.3290763
390_chr1,0.3290763
390_chr11,0.3290763
390_chr17,0.3290763
390_chr2,0.3290763
390_chr3,0.3290763
390_chr4,0.3290763
391_chr1,0.3290763
391_chr11,0.3290763
391_chr17,0.3290763
391_chr2,0.3290763
391_chr3,0.3290763
391_chr4,0.3290763
392_chr1,0.3290763
392_chr11,0.3290763
392_chr17,0.3290763
392_chr2,0.3290763
392_chr3,0.3290763
392_chr4,0.3290763
393_chr1,0.3290763
393_chr11,0.3290763
393_chr17,0.3290763
393_chr2,0.3290763
393_chr3,0.3290763
393_chr4,0.3290763
394_chr1,0.5564668
394_chr11,0.3290763
394_chr17,0.3290763
394_chr2,0.3290763
394_chr3,0.3290763
394_chr4,0.3290763
