sequenceID,llda
597_chr3,1.786101282
598_chr3,2.138698418
599_chr3,2.138698418
601_chr3,1.784806133
602_chr3,1.679205022
603_chr3,1.785239148
1_chr4,1.616801257
2_chr4,1.650481224
4_chr4,1.60615385
5_chr4,1.698923918
6_chr4,1.699693644
7_chr4,1.663568962
8_chr4,1.58571922
9_chr4,1.660642339
10_chr4,1.698923918
11_chr4,1.645149312
12_chr4,1.699693644
13_chr4,1.753460599
14_chr4,1.647303256
15_chr4,1.650481224
16_chr4,1.753460599
17_chr4,1.623124661
18_chr4,1.571151109
19_chr4,1.752921811
20_chr4,1.752921811
21_chr4,1.753997428
22_chr4,1.571151109
23_chr4,1.753460599
24_chr4,1.699693644
25_chr4,1.63040564
26_chr4,1.612887922
27_chr4,1.633928354
28_chr4,1.614202647
29_chr4,1.610226862
30_chr4,1.618085438
31_chr4,1.75238105
32_chr4,1.638510087
33_chr4,1.753460599
34_chr4,1.663568962
35_chr4,1.753460599
36_chr4,1.753460599
37_chr4,1.660642339
38_chr4,1.647303256
39_chr4,1.610226862
40_chr4,1.753460599
41_chr4,1.631588328
42_chr4,1.580999837
43_chr4,1.653597692
44_chr4,1.654623228
45_chr4,1.753460599
46_chr4,1.545719936
47_chr4,1.637376676
48_chr4,1.604773801
49_chr4,1.752921811
50_chr4,1.624360774
51_chr4,1.753997428
52_chr4,1.753460599
53_chr4,1.662599377
54_chr4,1.753460599
55_chr4,1.753460599
56_chr4,1.751838302
57_chr4,1.660642339
58_chr4,1.615507042
60_chr4,1.623124661
61_chr4,1.699693644
62_chr4,1.753997428
63_chr4,1.699693644
64_chr4,1.59769775
65_chr4,1.625587673
66_chr4,1.639635655
67_chr4,1.663568962
68_chr4,1.661623859
69_chr4,1.699693644
70_chr4,1.753997428
72_chr4,1.624360774
73_chr4,1.624360774
74_chr4,1.699693644
75_chr4,1.745165248
76_chr4,1.611562712
77_chr4,1.604773801
78_chr4,1.63623532
79_chr4,1.59769775
80_chr4,1.753460599
81_chr4,1.644061485
82_chr4,1.654623228
83_chr4,1.612887922
84_chr4,1.608880212
85_chr4,1.753460599
86_chr4,1.616801257
87_chr4,1.640753481
88_chr4,1.632762529
89_chr4,1.56425716
91_chr4,1.612887922
92_chr4,1.691818616
93_chr4,1.698923918
94_chr4,1.699693644
95_chr4,1.624360774
96_chr4,1.753460599
97_chr4,1.75238105
98_chr4,1.618085438
99_chr4,1.75238105
100_chr4,1.63623532
101_chr4,1.658661017
102_chr4,1.659654748
103_chr4,1.612887922
104_chr4,1.618085438
105_chr4,1.699693644
106_chr4,1.699693644
107_chr4,1.541764634
108_chr4,1.607522597
109_chr4,1.753460599
110_chr4,1.621879204
111_chr4,1.75238105
112_chr4,1.698923918
113_chr4,1.51827572
114_chr4,1.699693644
115_chr4,1.543753397
116_chr4,1.600564068
117_chr4,1.75238105
118_chr4,1.60615385
119_chr4,1.699693644
120_chr4,1.698923918
121_chr4,1.607522597
122_chr4,1.632762529
123_chr4,1.56600663
124_chr4,1.753460599
125_chr4,1.698923918
126_chr4,1.753460599
127_chr4,1.659654748
128_chr4,1.603382274
129_chr4,1.752921811
130_chr4,1.604773801
131_chr4,1.599137018
132_chr4,1.6429663
133_chr4,1.659654748
134_chr4,1.698923918
135_chr4,1.620624272
136_chr4,1.640753481
137_chr4,1.640753481
138_chr4,1.753460599
139_chr4,1.695806132
140_chr4,1.752921811
141_chr4,1.745732945
142_chr4,1.655642253
143_chr4,1.628014337
144_chr4,1.644061485
145_chr4,1.590311112
146_chr4,1.618085438
147_chr4,1.699693644
148_chr4,1.698923918
149_chr4,1.663568962
150_chr4,1.753460599
151_chr4,1.599137018
152_chr4,1.596246068
153_chr4,1.616801257
154_chr4,1.600564068
155_chr4,1.699693644
156_chr4,1.607522597
157_chr4,1.641863664
158_chr4,1.63623532
159_chr4,1.652565565
160_chr4,1.698923918
161_chr4,1.658661017
162_chr4,1.611562712
163_chr4,1.698923918
164_chr4,1.752921811
165_chr4,1.620624272
166_chr4,1.624360774
167_chr4,1.699693644
168_chr4,1.539753179
169_chr4,1.655642253
170_chr4,1.527179626
171_chr4,1.624360774
172_chr4,1.699693644
173_chr4,1.588794251
175_chr4,1.520543523
176_chr4,1.698923918
177_chr4,1.661623859
178_chr4,1.663568962
180_chr4,1.524994838
181_chr4,1.753460599
183_chr4,1.655642253
184_chr4,1.655642253
185_chr4,1.572832342
186_chr4,1.753460599
187_chr4,1.662599377
188_chr4,1.699693644
189_chr4,1.753460599
190_chr4,1.63040564
191_chr4,1.537718545
192_chr4,1.549588158
