sequenceID,llda
100_chr1,0.7155659
100_chr11,0.7155659
100_chr17,0.7155659
100_chr2,0.7155659
100_chr3,0.7155659
100_chr4,0.7155659
101_chr1,0.7155659
101_chr11,0.7155659
101_chr17,0.7155659
101_chr2,0.7155659
101_chr3,0.7155659
101_chr4,0.7155659
102_chr1,0.7155659
102_chr11,0.7155659
102_chr17,0.7155659
102_chr2,0.7155659
102_chr3,0.7155659
102_chr4,0.7155659
103_chr1,0.7155659
103_chr11,0.7155659
103_chr17,0.7155659
103_chr2,0.7155659
103_chr3,0.7155659
103_chr4,0.7155659
104_chr1,0.7155659
104_chr11,0.7155659
104_chr17,0.7155659
104_chr2,0.7155659
104_chr3,0.7155659
104_chr4,0.7155659
105_chr1,0.7155659
105_chr11,0.7155659
105_chr17,0.7155659
105_chr2,0.7155659
105_chr3,0.7155659
105_chr4,0.7155659
106_chr1,0.7155659
106_chr11,0.7155659
106_chr17,0.7155659
106_chr2,0.7155659
106_chr3,0.7155659
106_chr4,0.7155659
107_chr1,0.7155659
107_chr11,0.7155659
107_chr17,0.7155659
107_chr2,0.7155659
107_chr3,0.7155659
107_chr4,0.7155659
108_chr1,0.7155659
108_chr11,0.7155659
108_chr17,0.7155659
108_chr2,0.7155659
108_chr3,0.7155659
108_chr4,0.7155659
109_chr1,0.7155659
109_chr11,0.7155659
109_chr17,0.7155659
109_chr2,0.7155659
109_chr3,0.7155659
109_chr4,0.7155659
10_chr1,0.7155659
10_chr11,0.7155659
10_chr17,0.7155659
10_chr2,0.7155659
10_chr3,0.7155659
10_chr4,0.7155659
110_chr1,0.7155659
110_chr11,0.7155659
110_chr17,0.7155659
110_chr2,0.7155659
110_chr3,0.7155659
110_chr4,0.7155659
111_chr1,0.7155659
111_chr11,0.7155659
111_chr17,0.7155659
111_chr2,0.7155659
111_chr3,0.7155659
111_chr4,0.7155659
112_chr1,0.7155659
112_chr11,0.7155659
112_chr17,0.7155659
112_chr2,0.7155659
112_chr3,0.7155659
112_chr4,0.7155659
113_chr1,0.7155659
113_chr11,0.7155659
113_chr17,0.7155659
113_chr2,0.7155659
113_chr3,0.7155659
113_chr4,0.7155659
114_chr1,0.7155659
114_chr11,0.7155659
114_chr17,0.7155659
114_chr2,0.7155659
114_chr3,0.7155659
114_chr4,0.7155659
115_chr1,0.7155659
115_chr11,0.7155659
115_chr17,0.7155659
115_chr2,0.7155659
115_chr3,0.7155659
115_chr4,0.7155659
116_chr1,0.7155659
116_chr11,0.7155659
116_chr17,0.7155659
116_chr2,0.7155659
116_chr3,0.7155659
116_chr4,0.7155659
117_chr1,0.7155659
117_chr11,0.7155659
117_chr17,0.7155659
117_chr2,0.7155659
117_chr3,0.7155659
117_chr4,0.7155659
118_chr1,0.7155659
118_chr11,0.7155659
118_chr17,0.7155659
118_chr3,0.7155659
118_chr4,0.7155659
119_chr1,0.7155659
119_chr11,0.7155659
119_chr17,0.7155659
119_chr2,0.7155659
119_chr3,0.7155659
119_chr4,0.7155659
11_chr1,0.7155659
11_chr11,0.7155659
11_chr17,0.7155659
11_chr2,0.7155659
11_chr3,0.7155659
11_chr4,0.7155659
120_chr1,0.7155659
120_chr11,0.7155659
120_chr17,0.7155659
120_chr2,0.7155659
120_chr3,0.7155659
120_chr4,0.7155659
121_chr1,0.7155659
121_chr11,0.7155659
121_chr17,0.7155659
121_chr2,0.7155659
121_chr3,0.7155659
121_chr4,0.7155659
122_chr1,0.7155659
122_chr11,0.7155659
122_chr17,0.7155659
122_chr2,0.7155659
122_chr3,0.7155659
122_chr4,0.7155659
123_chr1,0.7155659
123_chr11,0.7155659
123_chr17,0.7155659
123_chr2,0.7155659
123_chr3,0.7155659
123_chr4,0.7155659
124_chr1,0.7155659
124_chr11,0.7155659
124_chr17,0.7155659
124_chr2,0.7155659
124_chr3,0.7155659
124_chr4,0.7155659
125_chr1,0.7155659
125_chr11,0.7155659
125_chr17,0.7155659
125_chr2,0.7155659
125_chr3,0.7155659
125_chr4,0.7155659
126_chr1,0.7155659
126_chr11,0.7155659
126_chr17,0.7155659
126_chr2,0.7155659
126_chr3,0.7155659
126_chr4,0.7155659
127_chr1,0.7155659
127_chr11,0.7155659
127_chr17,0.7155659
127_chr2,0.7155659
127_chr3,0.7155659
127_chr4,0.7155659
128_chr1,0.7155659
128_chr11,0.7155659
128_chr17,0.7155659
128_chr2,0.7155659
128_chr3,0.7155659
128_chr4,0.7155659
129_chr1,0.7155659
129_chr11,0.7155659
129_chr17,0.7155659
129_chr2,0.7155659
129_chr3,0.7155659
129_chr4,0.7155659
12_chr1,0.7155659
12_chr11,0.7155659
12_chr17,0.7155659
12_chr2,0.7155659
12_chr3,0.7155659
12_chr4,0.7155659
130_chr1,0.7155659
130_chr11,0.7155659
130_chr17,0.7155659
130_chr2,0.7155659
130_chr3,0.7155659
130_chr4,0.7155659
131_chr1,0.7155659
131_chr11,0.7155659
131_chr17,0.7155659
131_chr2,0.7155659
131_chr3,0.7155659
131_chr4,0.7155659
132_chr1,0.7155659
132_chr11,0.7155659
132_chr17,0.7155659
132_chr2,0.7155659
132_chr3,0.7155659
132_chr4,0.7155659
133_chr1,0.7155659
133_chr11,0.7155659
133_chr2,0.7155659
133_chr3,0.7155659
133_chr4,0.7155659
134_chr1,0.7155659
134_chr11,0.7155659
134_chr17,0.7155659
134_chr2,0.7155659
134_chr3,0.7155659
134_chr4,0.7155659
135_chr1,0.7155659
135_chr11,0.7155659
135_chr17,0.7155659
135_chr2,0.7155659
135_chr3,0.7155659
135_chr4,0.7155659
136_chr1,0.7155659
136_chr11,0.7155659
136_chr17,0.7155659
136_chr2,0.7155659
136_chr3,0.7155659
136_chr4,0.7155659
137_chr1,0.7155659
137_chr11,0.7155659
137_chr17,0.7155659
137_chr2,0.7155659
137_chr3,0.7155659
137_chr4,0.7155659
138_chr1,0.7155659
138_chr11,0.7155659
138_chr17,0.7155659
138_chr2,0.7155659
138_chr3,0.7155659
138_chr4,0.7155659
139_chr1,0.7155659
139_chr11,0.7155659
139_chr17,0.7155659
139_chr2,0.7155659
139_chr3,0.7155659
139_chr4,0.7155659
13_chr1,0.7155659
13_chr11,0.7155659
13_chr17,0.7155659
13_chr2,0.7155659
13_chr3,0.7155659
13_chr4,0.7155659
140_chr1,0.7155659
140_chr11,0.7155659
140_chr17,0.7155659
140_chr2,0.7155659
140_chr3,0.7155659
140_chr4,0.7155659
141_chr1,0.7155659
141_chr11,0.7155659
141_chr17,0.7155659
141_chr2,0.7155659
141_chr3,0.7155659
141_chr4,0.7155659
142_chr1,0.7155659
142_chr11,0.7155659
142_chr17,0.7155659
142_chr2,0.7155659
142_chr3,0.7155659
142_chr4,0.7155659
143_chr1,0.7155659
143_chr11,0.7155659
143_chr17,0.7155659
143_chr2,0.7155659
143_chr3,0.7155659
143_chr4,0.7155659
144_chr1,0.7155659
144_chr11,0.7155659
144_chr17,0.7155659
144_chr2,0.7155659
144_chr3,0.7155659
144_chr4,0.7155659
145_chr1,0.7155659
145_chr11,0.7155659
145_chr17,0.7155659
145_chr2,0.7155659
145_chr3,0.7155659
145_chr4,0.7155659
146_chr1,0.7155659
146_chr11,0.7155659
146_chr17,0.7155659
146_chr2,0.7155659
146_chr3,0.7155659
146_chr4,0.7155659
147_chr11,0.7155659
147_chr17,0.7155659
147_chr2,0.7155659
147_chr3,0.7155659
147_chr4,0.7155659
148_chr1,0.7155659
148_chr11,0.7155659
148_chr17,0.7155659
148_chr2,0.7155659
148_chr3,0.7155659
148_chr4,0.7155659
149_chr1,0.7155659
149_chr11,0.7155659
149_chr17,0.7155659
149_chr2,0.7155659
149_chr3,0.7155659
149_chr4,0.7155659
14_chr11,0.7155659
